location,iso_code,vaccines,last_observation_date,source_name,source_website
Sierra Leone,SLE,"BBIBP-CorV, Oxford/AstraZeneca",2021-06-20,World Health Organization,https://covid19.who.int/
Singapore,SGP,"Moderna, Pfizer/BioNTech, Sinovac",2021-07-02,Ministry of Health,https://www.moh.gov.sg/covid-19
Sint Maarten (Dutch part),SXM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-25,World Health Organization,https://covid19.who.int/
Slovakia,SVK,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-02,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-02,National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,Oxford/AstraZeneca,2021-06-29,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Somalia,SOM,"BBIBP-CorV, Oxford/AstraZeneca, Sinovac",2021-06-29,World Health Organization,https://covid19.who.int/
South Africa,ZAF,"Johnson&Johnson, Pfizer/BioNTech",2021-07-01,Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,KOR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-02,Korea Centers for Disease Control and Prevention,http://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=713857&cg_code=&act=view&nPage=1
South Sudan,SSD,Oxford/AstraZeneca,2021-06-28,World Health Organization,https://covid19.who.int/
Spain,ESP,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-01,Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210702.ods
Sri Lanka,LKA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-07-02,Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-02-07_10_21.pdf
Sudan,SDN,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-06-29,World Health Organization,https://covid19.who.int/
Suriname,SUR,Oxford/AstraZeneca,2021-07-02,Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-02,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,"Moderna, Pfizer/BioNTech",2021-06-30,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Syria,SYR,"BBIBP-CorV, Oxford/AstraZeneca, Sputnik V",2021-06-21,World Health Organization,https://covid19.who.int/
Taiwan,TWN,"Moderna, Oxford/AstraZeneca",2021-07-02,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Tajikistan,TJK,"Oxford/AstraZeneca, Sinovac",2021-06-27,World Health Organization,https://covid19.who.int/
Thailand,THA,"Oxford/AstraZeneca, Sinovac",2021-07-01,Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-07-02.pdf
Timor,TLS,"Oxford/AstraZeneca, Sinovac",2021-06-29,World Health Organization,https://covid19.who.int/
Togo,TGO,Oxford/AstraZeneca,2021-06-10,World Health Organization,https://covid19.who.int/
Tonga,TON,Oxford/AstraZeneca,2021-06-21,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Trinidad and Tobago,TTO,Oxford/AstraZeneca,2021-07-02,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-06-30,Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4271458019559936
Turkey,TUR,"Pfizer/BioNTech, Sinovac",2021-07-02,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turkmenistan,TKM,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-04-04,World Health Organization,https://covid19.who.int/
Turks and Caicos Islands,TCA,Pfizer/BioNTech,2021-06-18,World Health Organization,https://covid19.who.int/
Tuvalu,TUV,Oxford/AstraZeneca,2021-06-15,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Uganda,UGA,Oxford/AstraZeneca,2021-06-29,Ministry of Health,https://twitter.com/MinofHealthUG/status/1410541337263411200
Ukraine,UKR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-01,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",2021-07-02,National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United Kingdom,GBR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-01,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
United States,USA,"Johnson&Johnson, Moderna, Pfizer/BioNTech",2021-07-02,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data
Uruguay,URY,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-02,Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",2021-06-29,Government of Uzbekistan,"https://akipress.com/news:659999:Uzbekistan_vaccinates_over_132,000_against_COVID-19/"
Vanuatu,VUT,Oxford/AstraZeneca,2021-06-21,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Venezuela,VEN,"BBIBP-CorV, Sputnik V",2021-06-25,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Vietnam,VNM,Oxford/AstraZeneca,2021-07-02,Government of Vietnam,https://suckhoedoisong.vn/sang-3-7-them-239-ca-mac-covid-19-tp-ho-chi-minh-da-chiem-den-215-ca-n196412.html
Wales,OWID_WLS,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-01,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Wallis and Futuna,WLF,Oxford/AstraZeneca,2021-06-29,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Yemen,YEM,Oxford/AstraZeneca,2021-06-27,World Health Organization,https://covid19.who.int/
Zambia,ZMB,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-02,Government of Zambia,https://www.facebook.com/mohzambia/posts/1946744695500178
Zimbabwe,ZWE,Sinopharm/Beijing,2021-06-30,Ministry of Health,https://twitter.com/MoHCCZim/status/1410331136073547784
